N° Personal,Cédula de Identidad,Nombre del Trabajador,Adscripción Académica,Unidad Superior,Unidad,Nombre de la Posición,Tipo de Trabajador,Fecha de Inicio de Contrato,Horas de Contrato,Categoría 2020,Fecha Categoría 2020,Categoría 2023,Fecha Categoría 2023,Categoría,Fecha Categoría,Calificación 2023,Concepto 2023,Observación Calificación 2023,Resumen Evaluación 2023,Calificación 2024,Concepto 2024,Observación Calificación 2024,Resumen Evaluación 2024,Calificación 2025,Concepto Resultado 2025,Observación Calificación 2025,Resumen Calificación 2025
20005,12.234.567-9,Mauricio Alejandro Vargas Díaz,Forestal,Facultad de Ciencias Administrativas y Forestales,Departamento de Ciencias Forestales,Académico Titular,Académico,10/05/2013,44,asociado,20/06/2016,titular,15/09/2020,titular,15/09/2020,4.5,Excelente,Investigación de alto impacto,Proyectos ANID vigentes y red internacional consolidada,4.6,Excelente,Liderazgo en investigación forestal,Formación de capital humano avanzado,4.6,Excelente,Investigación de alto impacto nacional,Referente en manejo sustentable de bosque nativo
20006,13.345.678-0,Valentina Constanza Espinoza Riquelme,Administración,Facultad de Ciencias Administrativas y Forestales,Departamento de Economía y Finanzas,Académico Instructor,Académico,01/08/2022,22,instructor,01/08/2022,instructor,01/08/2022,instructor,01/08/2022,,,Nueva en la institución,Primer año en la UCM,3.5,Bueno,Adaptación satisfactoria,Cumple con carga docente asignada,3.7,Bueno,Progreso en integración,Mayor participación en actividades académicas
10007,14.456.789-1,Rodrigo Andrés Bustos Coronado,Ingeniería,Facultad de Ciencias de la Ingeniería,Departamento de Ingeniería Industrial,Académico Asociado,Académico,12/03/2017,44,asistente,18/11/2020,asociado,20/05/2024,asociado,20/05/2024,3.8,Bueno,Desempeño adecuado,Buena docencia y colaboración en proyectos departamentales,3.9,Bueno,Mejora en investigación,Publicación en revista nacional indexada,4.0,Bueno,Desempeño adecuado,Consolidación de línea de investigación en optimización
10008,15.567.890-2,Lorena Patricia Alarcón Navarro,Ingeniería,Facultad de Ciencias de la Ingeniería,Departamento de Computación e Informática,Académico Asistente,Académico,01/04/2020,22,instructor,01/04/2020,asistente,10/09/2023,asistente,10/09/2023,3.7,Bueno,Progreso en formación,Avances en programa doctoral y docencia satisfactoria,4.2,Muy Bueno,Destaca en innovación docente,Implementó metodologías activas en sus asignaturas,4.4,Muy Bueno,Destaca en docencia,Reconocimiento estudiantil por calidad docente
10009,16.678.901-3,Diego Ignacio Velásquez Campos,Ingeniería,Facultad de Ciencias de la Ingeniería,Departamento de Obras Civiles,Académico Adjunto,Académico,15/09/2021,18,adjunto,15/09/2021,adjunto,15/09/2021,adjunto,15/09/2021,,,Primer proceso de evaluación,Contrato reciente,3.8,Bueno,Adaptación positiva,Buena integración al equipo docente,3.9,Bueno,Cumple estándares,Compromiso con desarrollo profesional
20007,17.789.012-4,Claudia Marcela Ríos Santana,Forestal,Facultad de Ciencias Administrativas y Forestales,Departamento de Ciencias Forestales,Académico Asociado,Académico,10/06/2018,44,asistente,22/04/2021,asociado,15/12/2024,asociado,15/12/2024,3.9,Bueno,Buena gestión de proyectos,Coordinadora de proyecto FIA y docencia efectiva,4.1,Muy Bueno,Fortalecimiento en investigación aplicada,Transferencia tecnológica a sector productivo,4.2,Muy Bueno,Buena gestión de proyectos,Liderazgo en vinculación con sector forestal
20008,18.890.123-5,Sebastián Ignacio Molina Paredes,Administración,Facultad de Ciencias Administrativas y Forestales,Departamento de Administración de Empresas,Académico Titular,Académico,05/02/2012,44,asociado,15/08/2015,titular,10/03/2019,titular,10/03/2019,4.8,Excelente,Excelencia comprobada sostenida,Trayectoria destacada en docencia e investigación,4.9,Excelente,Máximo nivel de excelencia,Reconocimiento nacional e internacional,4.9,Excelente,Excelencia institucional,Modelo de desarrollo académico integral
10010,19.901.234-6,Francisca Belén Jara Sepúlveda,Ingeniería,Facultad de Ciencias de la Ingeniería,Departamento de Computación e Informática,Académico Instructor,Académico,01/03/2023,22,instructor,01/03/2023,instructor,01/03/2023,instructor,01/03/2023,,,Recién incorporada,Primer año de contrato en la UCM,3.4,Bueno,Inicio de carrera académica,Cumple con carga docente básica,3.6,Bueno,Adaptación en curso,Participación en actividades de formación docente
20009,20.012.345-7,Cristóbal Esteban Parra Guzmán,Administración,Facultad de Ciencias Administrativas y Forestales,Departamento de Economía y Finanzas,Académico Asistente,Académico,18/07/2020,22,instructor,18/07/2020,asistente,05/11/2023,asistente,05/11/2023,3.4,Bueno,En proceso de mejora,Debe fortalecer investigación y actualización disciplinar,3.6,Bueno,Avances moderados,Participación en seminarios y congresos nacionales,3.7,Bueno,En proceso de mejora,Compromiso con plan de mejoramiento continuo
20010,11.123.456-8,Isidora Antonia Cortés Leiva,Forestal,Facultad de Ciencias Administrativas y Forestales,Departamento de Ciencias Forestales,Académico Adjunto,Académico,01/10/2021,18,adjunto,01/10/2021,adjunto,01/10/2021,adjunto,01/10/2021,,,Primera evaluación quinquenal,Período de adaptación institucional,4.0,Bueno,Prometedor inicio de carrera,Activa en proyectos estudiantiles y extensión,4.1,Muy Bueno,Prometedor inicio de carrera,Liderazgo en actividades de vinculación estudiantil
